RUOLO;NOME;SQUADRA;SLOT;Prezzo consigliato;Prezzo Massimo;Presenze;Goal subiti;Clean Sheet;Badge;Prendi o lascia? 🎲
C;Casadei;Torino;Slot 5-6 (Titolare);20;25;33;6;0;🏋️‍♂️ Stakanovista;PROVA A PRENDERLO
C;Pellegrini Lo.;Roma;Slot 5-6 (Titolare);19;24;24;4;2;-;LASCIALO AGLI ALTRI
C;Pasalic;Atalanta;Slot 5-6 (Titolare);18;22;33;3;4;🏋️‍♂️ Stakanovista;PRENDILO A POCO
C;Odgaard;Bologna;Slot 5-6 (Titolare);17;21;26;5;1;🏋️‍♂️ Stakanovista;PRENDILO A POCO
C;Cambiaghi;Bologna;Slot 5-6 (Titolare);16;20;28;3;4;🏋️‍♂️ Stakanovista;PRENDILO A POCO
C;Mandragora;Torino;Slot 5-6 (Titolare);15;19;34;7;3;🏋️‍♂️ Stakanovista | 🟨 Cittone | 🎯 Calci piazzati;PRENDILO A POCO
C;Calò;Frosinone;Slot 5-6 (Titolare);14;18;37;10;15;🏋️‍♂️ Stakanovista | ⚽ Bomber | 🎯 Rigorista | 🎯 Calci piazzati |🟨 Cittone;PRENDILO A POCO
C;Chukwueze;Milan;Slot 5-6 (Titolare);13;16;23;3;4;-;PRENDILO A POCO
C;Busio;Venezia;Slot 5-6 (Titolare);13;15;37;7;4;🏋️‍♂️ Stakanovista |🎯 Rigorista | 🎯 Calci piazzati | 🟨 Cittone;PRENDILO A POCO
C;Lobotka;Napoli;Slot 5-6 (Titolare);12;15;32;1;1;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
C;Konè I.;Sassuolo;Slot 5-6 (Titolare);11;14;35;6;0;🏋️‍♂️ Stakanovista | Infortunato;INFORTUNATO
C;Schmid;Frosinone;Slot 5-6 (Titolare);10;12;34;4;8;🏋️‍♂️ Stakanovista | 🎯 Rigorista | 🎯 Calci piazzati;PRENDILO A POCO
C;Hutchinson;Milan;Slot 5-6 (Titolare);10;12;31;1;5;🏋️‍♂️ Stakanovista;SCOMMESSA
C;Perez;Venezia;Slot 5-6 (Titolare);10;12;35;3;8;🏋️‍♂️ Stakanovista | 🟨 Cittone;PRENDILO A POCO
C;Mbangula;Bologna;Slot 5-6 (Titolare);9;11;26;3;2;🏋️‍♂️ Stakanovista;SCOMMESSA
C;Gaetano;Atalanta;Slot 5-6 (Titolare);8;10;33;2;4;🏋️‍♂️ Stakanovista;PRENDILO A POCO
C;Zalewski;Atalanta;Slot 5-6 (Titolare);8;10;33;2;4;🏋️‍♂️ Stakanovista;PRENDILO A POCO
C;Ferguson;Bologna;Slot 7-8 (Low Cost);7;9;27;1;0;🏋️‍♂️ Stakanovista | 🟨 Cittone;LASCIALO AGLI ALTRI
C;Adopo;Cagliari;Slot 7-8 (Low Cost);6;8;38;1;2;🏋️‍♂️ Stakanovista;RIEMPI SLOT
C;Fabbian;Parma;Slot 7-8 (Low Cost);6;8;29;2;0;🏋️‍♂️ Stakanovista;RIEMPI SLOT
C;Romano;Cagliari;Slot 7-8 (Low Cost);6;8;28;0;1;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
C;Fagioli;Fiorentina;Slot 7-8 (Low Cost);5;6;33;2;3;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
C;Ndour;Fiorentina;Slot 7-8 (Low Cost);5;6;33;3;0;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
C;Frendrup;Genoa;Slot 7-8 (Low Cost);4;5;36;1;0;🏋️‍♂️ Stakanovista;RIEMPI SLOT
C;Koopmeiners;Juventus;Slot 7-8 (Low Cost);4;5;33;0;0;🏋️‍♂️ Stakanovista;PRENDILO A POCO
C;Rovella;Lazio;Slot 7-8 (Low Cost);4;5;11;0;1;⛑️Infortunato rientra a novembre;INFORTUNATO
C;Coulibaly L.;Lecce;Slot 7-8 (Low Cost);3;4;33;3;1;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
C;Akinsanmiro;Monza;Slot 7-8 (Low Cost);3;4;24;0;1;-;LASCIALO AGLI ALTRI
C;Bernabè;Parma;Slot 7-8 (Low Cost);3;4;32;3;1;🏋️‍♂️ Stakanovista | 🎯 Calci piazzati;PRENDILO A POCO
C;Pisilli;Roma;Slot 7-8 (Low Cost);2;2;25;2;4;🏋️‍♂️ Stakanovista;SCOMMESSA
C;Karlstrom;Udinese;Slot 7-8 (Low Cost);2;2;36;1;0;🏋️‍♂️ Stakanovista | 🟨 Cittone;LASCIALO AGLI ALTRI
C;Unai Gomez;Udinese;Slot 7-8 (Low Cost);2;2;26;1;1;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
C;Sow;Genoa;Slot 7-8 (Low Cost);1;1;33;5;4;🏋️‍♂️ Stakanovista | 🟨 Cittone;PRENDILO A POCO
C;Elmas;Atalanta;Slot 7-8 (Low Cost);1;1;33;1;3;🏋️‍♂️ Stakanovista;PRENDILO A POCO
C;Monteiro J.;Lecce;Slot 7-8 (Low Cost);1;1;31;4;3;-;LASCIALO AGLI ALTRI
C;Sarr P.;Juventus;Slot 7-8 (Low Cost);1;1;34;0;1;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
C;El Shaarawy;Genoa;Slot 7-8 (Low Cost);1;1;20;1;2;-;LASCIALO AGLI ALTRI
C;Pobega;Bologna;Slot 7-8 (Low Cost);1;1;26;3;1;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
C;Winks;Cagliari;Slot 7-8 (Low Cost);1;1;34;1;2;🏋️‍♂️ Stakanovista;RIEMPI SLOT
C;Fazzini;Cagliari;Slot 7-8 (Low Cost);1;1;20;0;0;🎯 Calci piazzati;LASCIALO AGLI ALTRI
C;Milla;Como;Slot 7-8 (Low Cost);1;1;37;1;10;🏋️‍♂️ Stakanovista;PROVA A PRENDERLO
C;Caqueret;Como;Slot 7-8 (Low Cost);1;1;30;2;6;🏋️‍♂️ Stakanovista;RIEMPI SLOT
C;Liberali;Como;Slot 7-8 (Low Cost);1;1;24;3;3;-;LASCIALO AGLI ALTRI
C;Oulai;Fiorentina;Slot 7-8 (Low Cost);1;1;25;2;4;-;LASCIALO AGLI ALTRI
C;Zerbin;Frosinone;Slot 7-8 (Low Cost);1;1;32;0;3;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
C;Ellertsson;Genoa;Slot 7-8 (Low Cost);1;1;36;1;1;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
C;Zhegrova;Juventus;Slot 7-8 (Low Cost);1;1;19;0;0;-;LASCIALO AGLI ALTRI
A;Malen;Roma;Slot 1 (Super Top);281;351;18;14;2;🏋️‍♂️ Stakanovista |⚽ Bomber | 🎯 Rigorista;PROVA A PRENDERLO
A;Martinez L.;Inter;Slot 1 (Super Top);268;335;30;17;6;🏋️‍♂️ Stakanovista | ⚽ Bomber | 🎯 Rigorista;PROVA A PRENDERLO
A;Thuram;Inter;Slot 1 (Super Top);256;320;29;13;6;🏋️‍♂️ Stakanovista | ⚽ Bomber;PROVA A PRENDERLO
A;Hojlund;Napoli;Slot 1 (Top Player);244;305;33;12;5;🏋️‍♂️ Stakanovista | ⚽ Bomber | 🎯 Vice rigorista;PROVA A PRENDERLO
A;Ramos G.;Milan;Slot 1 (Top Player);232;290;30;6;1;🏋️‍♂️ Stakanovista  | 🎯 Rigorista ;LASCIALO AGLI ALTRI
A;Davis K.;Udinese;Slot 1 (Top Player);152;190;30;10;4;🏋️‍♂️ Stakanovista | ⚽ Bomber | 🎯 Rigorista;PROVA A PRENDERLO
A;Kolo Muani;Juventus;Slot 2 (Top Player);221;276;30;1;1;🏋️‍♂️ Stakanovista | 🎯 Rigorista;LASCIALO AGLI ALTRI
A;Kean;Como;Slot 2 (Top Player);210;262;26;8;1;🏋️‍♂️ Stakanovista | 🎯 Vice Rigorista ;PRENDILO SENZA ESAGERARE
A;Woltemade;Juventus;Slot 2 (Top Player);199;249;33;8;3;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
A;Douvikas;Como;Slot 2 (Top Player);189;236;38;14;1;🏋️‍♂️ Stakanovista | ⚽ Bomber;PRENDILO SENZA ESAGERARE
A;Scamacca;Atalanta;Slot 2 (Top Player);170;212;24;10;1;⚽ Bomber | 🎯 Rigorista ;LASCIALO AGLI ALTRI
A;Krstovic;Atalanta;Slot 2 (Top Player);144;180;33;10;5;🏋️‍♂️ Stakanovista | ⚽ Bomber | 🎯 Rigorista  ;PRENDILO SENZA ESAGERARE
A;De Ketelaere;Atalanta;Slot 3-4 (Titolare);136;170;31;3;5;🏋️‍♂️ Stakanovista | 🎯 Calci piazzati;LASCIALO AGLI ALTRI
A;Berardi;Sassuolo;Slot 3-4 (Titolare);130;165;26;8;4;🏋️‍♂️ Stakanovista | 🎯 Calci piazzati;PROVA A PRENDERLO
A;Esposito F.P.;Inter;Slot 3-4 (Semititolare);128;160;35;7;3;🏋️‍♂️ Stakanovista;PROVA A PRENDERLO
A;Yildiz;Juventus;Slot 2 (Top Player);121;151;36;10;6;🏋️‍♂️ Stakanovista | ⚽ Bomber | 🎯 Calci Piazzati |⛑️Infortunato rientra a dicembre;PROVA A PRENDERLO
A;Dybala;Roma;Slot 3-4 (Semititolare);121;151;22;2;6;🎯Vice rigorista | 🎯Calci piazzati;LASCIALO AGLI ALTRI
A;Dovbyk;Bologna;Slot 3-4 (Semititolare);114;142;14;3;1;🎯Vice rigorista ;PRENDILO SENZA ESAGERARE
A;Laurientè;Sassuolo;Slot 3-4 (Titolare);107;134;38;7;9;🏋️‍♂️ Stakanovista | 🎯 Calci piazzati;PROVA A PRENDERLO
A;Raspadori;Atalanta;Slot 3-4 (Semititolare);100;125;13;3;1;-;LASCIALO AGLI ALTRI
A;Santos A.;Napoli;Slot 3-4 (Semititolare);94;118;14;4;0;-;PRENDILO SENZA ESAGERARE
A;Pellegrino M.;Fiorentina;Slot 3-4 (Semititolare);88;110;37;9;1;🏋️‍♂️ Stakanovista  | 🎯 Rigorista |;O LUI O BETO
A;Castro S.;Roma;Slot 3-4 (Semititolare);83;104;35;7;2;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
A;Simeone;Torino;Slot 3-4 (Semititolare);77;96;32;11;0;🏋️‍♂️ Stakanovista | ⚽ Bomber | 🎯 Vice rigorista;PROVA A PRENDERLO
A;Beto;Fiorentina;Slot 3-4 (Semititolare);72;90;37;9;1;🏋️‍♂️ Stakanovista;O LUI O PELLEGRINO
A;Soulè;Roma;Slot 3-4 (Semititolare);67;84;33;6;5;🏋️‍♂️ Stakanovista;PROVA A PRENDERLO
A;Raimondo;Frosinone;Slot 3-4 (Titolare);65;75;36;11;1;🏋️‍♂️ Stakanovista | ⚽ Bomber;PROVA A PRENDERLO
A;Diao;Como;Slot 3-4 (Semititolare);58;72;17;2;1;-;PRENDILO SENZA ESAGERARE
A;Pinamonti;Lazio;Slot 5-6 (Titolare);54;68;36;9;3;🏋️‍♂️ Stakanovista | 🎯 Vice rigorista;PROVA A PRENDERLO
A;Kevin Carlos;Cagliari;Slot 5-6 (Titolare);50;62;23;0;1;🎯 Rigorista;LASCIALO AGLI ALTRI
A;Colombo;Genoa;Slot 5-6 (Titolare);46;58;38;7;1;🏋️‍♂️ Stakanovista | 🎯 Rigorista;RIEMPI SLOT
A;Adams Che;Torino;Slot 5-6 (Semititolare);39;49;32;10;3;🏋️‍♂️ Stakanovista;PROVA A PRENDERLO
A;Tourè El Bilal;Parma;Slot 5-6 (Titolare);36;45;22;5;5;🏋️‍♂️ Stakanovista | 🎯 Rigorista | 🎯 Calci piazzati;LASCIALO AGLI ALTRI
A;Romero D.;Parma;Slot 5-6 (Titolare);33;41;23;4;1;🟨 Cittone | 🟥 Macellaio;LASCIALO AGLI ALTRI
A;Cutrone;Monza;Slot 5-6 (Semititolare);28;35;16;4;3;🎯 Rigorista;LASCIALO AGLI ALTRI
A;Bowie;Sassuolo;Slot 5-6 (Titolare);26;32;14;4;0;-;PRENDILO SENZA ESAGERARE
A;Esposito Se.;Sassuolo;Slot 3-4 (Semititolare);25;30;36;7;5;🏋️‍♂️ Stakanovista | 🎯 Vice rigorista | 🟨 Cittone;PRENDILO SENZA ESAGERARE
A;Yeboah J.;Venezia;Slot 5-6 (Titolare);23;29;34;10;9;🏋️‍♂️ Stakanovista ;PRENDILO A POCO
A;Bobcek;Frosinone;Slot 5-6 (Semititolare);21;26;30;20;6;-;SCOMMESSA
A;Piccoli;Bologna;Slot 5-6 (Semititolare);19;24;32;4;1;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
A;Ghedjemis;Frosinone;Slot 5-6 (Semititolare);17;21;37;15;3;🏋️‍♂️ Stakanovista | ⚽ Bomber;PRENDILO A POCO
A;Vitinha O.;Genoa;Slot 5-6 (Semititolare);15;19;35;5;1;🏋️‍♂️ Stakanovista;RIEMPI SLOT
A;Osmajic;Genoa;Slot 5-6 (Semititolare);12;15;34;9;3;🏋️‍♂️ Stakanovista | Scommessa;PRENDILO A POCO
A;Bonny;Inter;Slot 5-6 (Semititolare);11;14;33;5;4;🏋️‍♂️ Stakanovista;RIEMPI SLOT
A;Boga;Juventus;Slot 5-6 (Semititolare);10;12;15;4;0;-;LASCIALO AGLI ALTRI
A;Adams Akor;Venezia;Slot 5-6 (Titolare);10;12;33;6;2;🏋️‍♂️ Stakanovista |🎯 Vicerigorista;PRENDILO A POCO
A;Lontani;Parma;Slot 5-6 (Semititolare);10;20;21;10;3;Scommessa;SCOMMESSA
A;Varela G.;Monza;Slot 5-6 (Semititolare);9;11;32;6;3;🏋️‍♂️ Stakanovista | 🎯 Vice rigorista;SCOMMESSA
A;Rrahmani Al.;Venezia;Slot 7-8 (Low Cost);8;10;21;2;1;-;LASCIALO AGLI ALTRI
A;Gnonto;Fiorentina;Slot 7-8 (Low Cost);7;9;23;0;3;-;LASCIALO AGLI ALTRI
A;Sulemana K.;Atalanta;Slot 7-8 (Low Cost);6;8;25;2;1;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
A;Adorante;Venezia;Slot 7-8 (Low Cost);6;8;33;17;1;🏋️‍♂️ Stakanovista | ⚽ Bomber | 🎯 Rigorista | ⛑️Infortunato rientra a ottobre;PRENDILO A POCO
A;Kvernadze;Frosinone;Slot 7-8 (Low Cost);5;6;36;5;5;🏋️‍♂️ Stakanovista;PRENDILO A POCO
A;Noslin;Lazio;Slot 7-8 (Low Cost);4;5;29;4;2;🏋️‍♂️ Stakanovista | 🟨 Cittone;LASCIALO AGLI ALTRI
A;Stulic;Lecce;Slot 7-8 (Low Cost);4;5;34;4;0;🏋️‍♂️ Stakanovista | 🎯 Vice rigorista;RIEMPI SLOT
A;Neres;Napoli;Slot 7-8 (Low Cost);3;4;16;3;3;-;PRENDILO A POCO
A;Zapata D.;Torino;Slot 7-8 (Low Cost);3;4;28;3;1;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
A;Maldini;Cagliari;Slot 7-8 (Low Cost);2;2;12;2;1;-;SCOMMESSA
A;Birligea;Frosinone;Slot 7-8 (Low Cost);1;1;22;7;2;-;LASCIALO AGLI ALTRI
A;Ngonge;Monza;Slot 7-8 (Low Cost);1;1;20;1;1;🎯 Calci Piazzati;LASCIALO AGLI ALTRI
A;Mendy P.;Cagliari;Slot 7-8 (Low Cost);1;1;9;2;0;-;LASCIALO AGLI ALTRI
A;Havel;Genoa;Slot 7-8 (Low Cost);1;1;30;13;4;Scommessa;SCOMMESSA
A;N'Dri;Lecce;Slot 7-8 (Low Cost);1;1;27;2;0;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
A;Camarda;Milan;Slot 7-8 (Low Cost);1;1;21;1;0;-;SCOMMESSA
A;Mota;Monza;Slot 7-8 (Low Cost);1;1;30;5;2;🏋️‍♂️ Stakanovista;RIEMPI SLOT
A;Giovane;Napoli;Slot 7-8 (Low Cost);1;1;12;0;1;-;LASCIALO AGLI ALTRI
A;Lang;Napoli;Slot 7-8 (Low Cost);1;1;18;1;2;-;LASCIALO AGLI ALTRI
A;Lucca;Napoli;Slot 7-8 (Low Cost);1;1;16;1;0;-;LASCIALO AGLI ALTRI
A;Frigan;Parma;Slot 7-8 (Low Cost);1;1;3;1;0;-;LASCIALO AGLI ALTRI
A;Kulenovic;Torino;Slot 7-8 (Low Cost);1;1;13;0;1;-;LASCIALO AGLI ALTRI
A;Gueye;Udinese;Slot 7-8 (Low Cost);1;1;19;1;0;-;LASCIALO AGLI ALTRI
