RUOLO;NOME;SQUADRA;SLOT;Prezzo consigliato;Prezzo Massimo;Presenze;Goal subiti;Clean Sheet;Badge;Prendi o lascia? 🎲
D;Gila;Milan;Slot 2 (Top Player);51;64;31;0;0;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
D;N'Dicka;Roma;Slot 2 (Top Player);50;62;31;3;0;🏋️‍♂️ Stakanovista;PRENDILO SENZA ESAGERARE
D;Solet;Udinese;Slot 2 (Top Player);49;61;35;3;1;🏋️‍♂️ Stakanovista | 🎯 Vicerigorista;PRENDILO SENZA ESAGERARE
D;Bisseck;Inter;Slot 2 (Top Player);47;59;23;3;1;-;PRENDILO SENZA ESAGERARE
D;Stones;Inter;Slot 2 (Top Player);46;58;9;0;0;-;PRENDILO SENZA ESAGERARE
D;Di Lorenzo;Napoli;Slot 2 (Top Player);45;56;26;2;1;🏋️‍♂️ Stakanovista;PRENDILO SENZA ESAGERARE
D;Ostigard;Genoa;Slot 2 (Top Player);44;55;30;5;1;🏋️‍♂️ Stakanovista | 🟨 Cittone;PRENDILO SENZA ESAGERARE
D;Hermoso;Roma;Slot 2 (Top Player);43;54;27;3;2;🏋️‍♂️ Stakanovista | 🟨 Cittone;PRENDILO SENZA ESAGERARE
D;Spence;Inter;Slot 2 (Top Player);42;52;30;0;0;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
D;Scalvini;Atalanta;Slot 3-4 (Semititolare);40;50;24;3;1;-;PRENDILO SENZA ESAGERARE
D;Ramon;Como;Slot 3-4 (Semititolare);39;49;32;2;0;🏋️‍♂️ Stakanovista | 🟨 Cittone;PROVA A PRENDERLO
D;Dodò;Fiorentina;Slot 3-4 (Semititolare);37;46;36;1;2;🏋️‍♂️ Stakanovista | 🟨 Cittone;PRENDILO SENZA ESAGERARE
D;Vasquez;Genoa;Slot 3-4 (Semititolare);36;45;36;1;0;🏋️‍♂️ Stakanovista;RIEMPI SLOT
D;Vojvoda;Udinese;Slot 3-4 (Semititolare);35;44;30;2;2;🏋️‍♂️ Stakanovista;PROVA A PRENDERLO
D;Kamara H.;Udinese;Slot 3-4 (Semititolare);34;42;26;0;2;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
D;Zappacosta;Atalanta;Slot 3-4 (Semititolare);33;41;35;3;3;🏋️‍♂️ Stakanovista;PROVA A PRENDERLO
D;Miranda J.;Bologna;Slot 3-4 (Semititolare);32;40;32;1;3;🏋️‍♂️ Stakanovista | 🟨 Cittone;PRENDILO SENZA ESAGERARE
D;Celik;Juventus;Slot 3-4 (Semititolare);31;39;34;1;2;🏋️‍♂️ Stakanovista;PRENDILO SENZA ESAGERARE
D;Cambiaso;Juventus;Slot 3-4 (Semititolare);30;38;36;3;4;🏋️‍♂️ Stakanovista;PRENDILO SENZA ESAGERARE
D;Doekhi;Lazio;Slot 3-4 (Semititolare);29;36;34;5;0;🏋️‍♂️ Stakanovista;PROVA A PRENDERLO
D;Tiago Gabriel;Lecce;Slot 3-4 (Semititolare);28;35;37;2;0;🏋️‍♂️ Stakanovista | 🟨 Cittone;RIEMPI SLOT
D;Bartesaghi;Milan;Slot 3-4 (Semititolare);28;35;31;2;0;🏋️‍♂️ Stakanovista;RIEMPI SLOT
D;Spinazzola;Napoli;Slot 3-4 (Semititolare);27;34;32;3;3;🏋️‍♂️ Stakanovista;PROVA A PRENDERLO
D;Delprato;Parma;Slot 3-4 (Semititolare);26;32;35;2;0;🏋️‍♂️ Stakanovista;PROVA A PRENDERLO
D;Valeri;Parma;Slot 3-4 (Semititolare);25;31;34;0;2;🏋️‍♂️ Stakanovista | 🎯 Vice rigorista;RIEMPI SLOT
D;Koulierakis;Roma;Slot 3-4 (Semititolare);24;30;29;4;1;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
D;Comuzzo;Torino;Slot 3-4 (Semititolare);23;29;27;1;0;🏋️‍♂️ Stakanovista;RIEMPI SLOT
D;Couto;Como;Slot 5-6 (Titolare);22;28;19;2;2;-;PROVA A PRENDERLO
D;Theate;Bologna;Slot 5-6 (Titolare);22;28;24;1;0;🟨 Cittone;LASCIALO AGLI ALTRI
D;Diego Carlos;Parma;Slot 5-6 (Titolare);21;26;27;1;0;🏋️‍♂️ Stakanovista | 🟨 Cittone;LASCIALO AGLI ALTRI
D;Hien;Atalanta;Slot 5-6 (Titolare);20;25;28;1;0;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
D;Lucumì;Juventus;Slot 5-6 (Titolare);19;24;29;1;0;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
D;Zortea;Bologna;Slot 5-6 (Titolare);19;24;32;0;2;🏋️‍♂️ Stakanovista;PROVA A PRENDERLO
D;Mina;Cagliari;Slot 5-6 (Titolare);18;22;26;2;0;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
D;Obert;Cagliari;Slot 5-6 (Titolare);17;21;35;0;3;🏋️‍♂️ Stakanovista | 🟨 Cittone;RIEMPI SLOT
D;Dragusin;Fiorentina;Slot 5-6 (Titolare);17;21;10;0;0;-;RIEMPI SLOT
D;Jimenez A.;Fiorentina;Slot 5-6 (Titolare);16;20;31;1;0;🏋️‍♂️ Stakanovista | 🟨 Cittone;LASCIALO AGLI ALTRI
D;Bracaglia;Frosinone;Slot 5-6 (Titolare);15;19;32;5;1;🏋️‍♂️ Stakanovista | 🟨 Cittone;PROVA A PRENDERLO
D;Tavares N.;Lazio;Slot 5-6 (Titolare);15;19;23;0;0;-;SCOMMESSA
D;Gabbia;Milan;Slot 5-6 (Titolare);14;18;30;0;0;🏋️‍♂️ Stakanovista;PROVA A PRENDERLO
D;Mangas;Monza;Slot 5-6 (Titolare);13;16;15;2;1;-;SCOMMESSA
D;Idzes;Sassuolo;Slot 5-6 (Titolare);13;16;35;0;0;🏋️‍♂️ Stakanovista;RIEMPI SLOT
D;Coco;Torino;Slot 5-6 (Titolare);12;15;35;1;1;🏋️‍♂️ Stakanovista;RIEMPI SLOT
D;Badiashile;Napoli;Slot 5-6 (Titolare);11;14;8;0;0;-;LASCIALO AGLI ALTRI
D;Sutalo J.;Lazio;Slot 5-6 (Titolare);11;14;24;0;0;-;LASCIALO AGLI ALTRI
D;Belghali;Torino;Slot 5-6 (Titolare);10;12;26;2;0;🏋️‍♂️ Stakanovista | 🟨 Cittone;SCOMMESSA
D;Kolasinac;Atalanta;Slot 5-6 (Titolare);9;11;19;0;0;-;LASCIALO AGLI ALTRI
D;Bellanova;Atalanta;Slot 5-6 (Titolare);9;11;24;0;1;-;LASCIALO AGLI ALTRI
D;Bernasconi;Atalanta;Slot 5-6 (Titolare);9;11;23;0;3;-;LASCIALO AGLI ALTRI
D;Heggem;Bologna;Slot 5-6 (Titolare);8;10;27;0;0;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
D;Holm;Bologna;Slot 5-6 (Titolare);8;10;11;1;4;-;LASCIALO AGLI ALTRI
D;Kaiki;Como;Slot 5-6 (Titolare);7;9;16;0;2;🏋️‍♂️ Stakanovista | 🟨 Cittone;SCOMMESSA
D;Valle;Como;Slot 5-6 (Titolare);7;9;28;1;4;🏋️‍♂️ Stakanovista;PROVA A PRENDERLO
D;Hainaut;Venezia;Slot 5-6 (Titolare);6;9;37;5;6;;PROVA A PRENDERLO
D;Haps;Venezia;Slot 5-6 (Titolare);6;9;25;5;5;🟨 Cittone;SCOMMESSA
D;Viery;Fiorentina;Slot 5-6 (Titolare);6;8;13;1;0;🟨 Cittone;LASCIALO AGLI ALTRI
D;Monterisi;Frosinone;Slot 5-6 (Titolare);6;8;25;2;5;🏋️‍♂️ Stakanovista | 🟨 Cittone;RIEMPI SLOT
D;Oyono Anthony;Frosinone;Slot 7-8 (Low Cost);6;8;34;1;4;🏋️‍♂️ Stakanovista | 🟨 Cittone;RIEMPI SLOT
D;Marcandalli;Genoa;Slot 7-8 (Low Cost);5;6;32;0;2;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
D;Pavard;Inter;Slot 7-8 (Low Cost);5;6;28;1;2;🏋️‍♂️ Stakanovista | 🟨 Cittone;LASCIALO AGLI ALTRI
D;Carlos Augusto;Inter;Slot 7-8 (Low Cost);4;5;34;1;1;🏋️‍♂️ Stakanovista | 🟨 Cittone;PROVA A PRENDERLO
D;Pedraza;Lazio;Slot 7-8 (Low Cost);4;5;27;1;3;🏋️‍♂️ Stakanovista | 🟨 Cittone;SCOMMESSA
D;Marusic;Lazio;Slot 7-8 (Low Cost);4;5;33;1;2;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
D;Veiga D.;Lecce;Slot 7-8 (Low Cost);4;5;36;0;1;🏋️‍♂️ Stakanovista | 🟨 Cittone;RIEMPI SLOT
D;Gallo;Lecce;Slot 7-8 (Low Cost);3;4;37;0;4;🏋️‍♂️ Stakanovista;RIEMPI SLOT
D;Tomori;Milan;Slot 7-8 (Low Cost);3;4;33;0;2;🏋️‍♂️ Stakanovista | 🟨 Cittone;RIEMPI SLOT
D;Beukema;Napoli;Slot 7-8 (Low Cost);3;4;24;2;0;-;LASCIALO AGLI ALTRI
D;Buongiorno;Napoli;Slot 7-8 (Low Cost);2;2;33;0;1;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
D;Kristensen T.;Atalanta;Slot 7-8 (Low Cost);2;2;28;3;0;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
D;Obrador;Sassuolo;Slot 7-8 (Low Cost);2;2;16;1;3;-;SCOMMESSA
D;Fortini;Torino;Slot 7-8 (Low Cost);2;2;16;0;0;-;SCOMMESSA
D;Cacciamani;Torino;Slot 7-8 (Low Cost);2;2;33;2;0;-;SCOMMESSA
D;Leysen F.;Sassuolo;Slot 7-8 (Low Cost);2;2;23;1;1;-;LASCIALO AGLI ALTRI
D;Balerdi;Roma;Slot 7-8 (Low Cost);1;1;26;0;1;-;LASCIALO AGLI ALTRI
